é©éEé“êîÅEêlå˚10ñúêlíÜÇÃé©éEé“ó¶,,,,,,
îNìx,é©éEé“êîÅiêlÅj,,,êlå˚10ñúêlíÜÇÃé©éEó¶ÅiêlÅj,,
2008,"32,249","22,831","9,418",25.2,36.6,14.3
2009,"32,845","23,472","9,373",25.7,37.6,14.3
2010,"31,690","22,283","9,407",24.7,35.8,14.3
2011,"30,651","20,955","9,696",24,33.7,14.8
2012,"27,858","19,273","8,585",21.8,31,13.1
2013,"27,283","18,787","8,496",21.4,30.3,13
2014,"25,427","17,386","8,041",20,28.1,12.3
2015,"24,025","16,681","7,344",18.9,27,11.3
2016,"21,897","15,121","6,776",17.3,24.5,10.4
2017,"21,321","14,826","6,495",16.8,24,10
2018,"20,840","14,290","6,550",16.5,23.2,10.1
2019,"20,169","14,078","6,091",16,22.9,9.4
2020,"21,081","14,055","7,026",16.7,22.9,10.8
2021,"20,830","13,815","7,015",16.8,21.6,10.8
îNìx,çáåv,íjê´,èóê´,çáåv,íjê´,èóê´
